gene
COL3A1
PLVAP
COL1A2
TPSAB1
IL24
COL1A1
REG3A
SDS
COL6A3
SPP1
TPSB2
RGCC
GHRL
CXCL1
H19
HAMP
PPY
FN1
MMP1
SPARC
SYCN
BGN
PDGFRB
OLFM4
SFRP2
CELA2A
FLT1
PECAM1
MMP7
CXCL6
FGF19
MMP9
IL6
FGB
IL11
KRT17
PNLIP
KRT1
PI3
COL6A2
SOX18
STC1
LYZ
CYP1A1
SERPINE1
C11orf96
COL4A1
CPB1
ACP5
PNLIPRP1
ESM1
CYGB
LAPTM5
LIF
PTGS2
TYROBP
PASK
CSF3
CD93
PI15
C1QC
TFF1
CXCR4
ENG
CCL20
MMP3
TIMP3
CUZD1
IGFBP4
PODXL
CPA3
CXCL8
IGFBP5
CTRC
CPA2
HMOX1
KDR
RGS5
RGS1
THBS1
CRLF1
SPON2
SERPINB2
CCL2
FGG
GJA4
CTRB1
S100A9
CCR7
PXDN
CELA3A
COL6A1
COL15A1
VWF
REG3G
GP2
C1QB
CELA3B
TFPI2
PRSS2
FCER1G
C3
PRSS1
LCN2
SIGLEC17P
LOXL4
CXCL3
CLPS
HLA-DRA
CLDN5
IGFBP3
COL5A1
ADAMTS4
KIT
APOE
CTRB2
C1QA
CFB
CPA1
G0S2
TAGLN
HSPA6
SRGN
ACVRL1
ACKR3
ESAM
LUM
PLA2G1B
TRBC2
DUOXA2
ANGPT2
TGFBI
SERPINA5
ALOX5AP
TFF2
DLK1
MT1G
CYP1B1
CEMIP
MMP2
THBS2
FMOD
VSIG4
NDUFA4L2
KRT7
REG1B
KRT19
HPGDS
S100P
CARTPT
COL18A1
PPAP2B
RNASE1
MS4A2
KLK1
VCAN
INHBA
CCL3
PNLIPRP2
FABP4
IL1B
PCK1
MS4A7
MPEG1
NOTCH3
GATA2
CFTR
PLAU
SFRP4
CCL4
FCN3
COL5A3
CD52
CTGF
AGXT
ALB
NPY
ALDOB
SERPINA3
SERPING1
IFI27
SERPINB7
SOX10
PLAT
SPINK1
KCNE4
RRAD
CD53
PRSS3
OSM
TACSTD2
REG1A
IL3RA
MMP11
CRISPLD2
GCG
CST1
TIE1
PCAT19
MMP10
MT2A
FGF2
CYP26B1
THBD
ADGRL4
HTRA3
TOP2A
HLA-DRB1
ISLR
CCL5
APLNR
COL5A2
ADGRF5
APOC4-APOC2
BCL6B
RBP4
NKX2-3
PIGR
ACTA1
TBX3
VCAM1
S100A14
CYR61
FAM43A
MGP
CD22
EMP1
CRYAB
TINAGL1
PLA2G7
AKR1C1
IFITM1
EDN2
ADCYAP1
MUC4
PGF
IL1RL1
ANPEP
IAPP
S1PR1
SPI1
MUC13
CD74
MCAM
ADIRF
APCS
MEDAG
AEBP1
PTGDS
LTB
CLEC1A
EDNRB
CRCT1
ROBO4
CELA2B
POSTN
TNC
WNT5A
LRRC32
AKR1C2
AGT
ALDH1A3
SLCO2A1
CD34
HILPDA
CD69
PTX3
CCL3L3
MUC1
HCK
TNFAIP2
KRT6B
CCL8
ADAMDEC1
CD7
AQP1
PMEPA1
EGR4
FOXF1
KRT13
CRYBA2
MMP14
CP
LSP1
MAFA
EDN1
ADAMTS9
CXCL5
KRT5
HLA-DQA1
EMILIN1
ADCY3
AMY2A
COL8A1
FAM150B
LAMC2
DYSF
TNFRSF1B
MALL
ERG
UCA1
KLK10
SEMA3F
KRT23
LGALS1
LAMA4
RUNX3
FSCN1
LEFTY1
ITGA1
THY1
KLF2
LAMC3
EMCN
PAPPA
CAV1
DCN
ECEL1
HSPG2
CDH19
CD37
LGALS4
ITGA5
S100A8
CHI3L1
C8orf4
ANXA4
MT1E
CSF2
SELE
ITGB7
TMEM158
ITGB2
COL13A1
CX3CL1
CD247
PTGES
CALCA
TSLP
LOXL2
HRC
G6PC2
GDF15
SERPINA1
EDNRA
SPRR2A
FABP5
NRP2
SAA1
SLPI
SFRP5
ECSCR
BASP1
CXCL2
SERPINH1
NPPB
TNFRSF4
SLC6A14
WFDC1
CD248
S100A16
CTHRC1
PFKFB3
ADAMTS1
MRC1
MFGE8
THBS4
TAL1
HLA-DRB5
HTRA1
PRELP
CDH5
AMBP
CCL26
HIC1
PAEP
CYP2D6
EDN3
S100A2
CLDN6
CLEC14A
PRDM1
HGF
IL32
SST
TSPAN8
ANGPTL4
CALB2
ACAN
SEMA7A
CSRP2
LYVE1
RARRES1
MT1X
GPR4
UNC5B
CSF1R
PDPN
INHBB
ADAMTS12
ANO1
SLC43A3
GJA5
PDZK1IP1
LCP1
APCDD1
AFAP1L1
SLC4A4
KLHL41
IL7R
FLNA
F3
CCDC3
OLFML2A
BMP7
FSTL1
FPR3
IGF2
CTSH
RGS16
IFITM2
GPRC5B
NOTCH4
CALCB
DLL4
CCL4L2
ANGPT1
ANKRD1
PDLIM3
MXRA8
SDC4
RSAD2
TM4SF4
CD300A
SLC18A3
INS
TTR
PYY
MSLN
FCGR2A
HAS1
CTRL
GMFG
HOXB2
FGL2
VPREB3
NEFM
CDKN1C
TMPRSS4
SPARCL1
TMEM204
FEV
ANXA1
GC
PLIN2
ARC
FAM101B
APOBR
LPL
FOXD2
CYBB
NPAS4
MYH11
PEG10
HMMR
NOTCH1
BST2
CEBPB
SFRP1
HLA-DPA1
BIRC5
LAMB3
APOLD1
ICAM1
SCNN1B
FGA
REG1P
RHCG
SMAD6
SMIM24
ADORA3
KLF9
TCF4
PAMR1
PDGFB
IFITM3
GAST
SOX4
ID3
PLAUR
ARHGDIB
SERTM1
PAPPA2
KRTAP1-1
HEY1
APOA2
MRC2
FLT4
SAA2
PTPN7
CHST1
IRX2
TBX2
AGR2
TRPC6
DIO3
CD180
CFP
IDO1
C7
SOX7
UBE2C
CA12
MAEL
IL33
AREG
PRKCDBP
KRT6A
SNAI1
OAF
WFDC2
LTBP1
MYLK
GIMAP7
PTPRE
CD163
ITPRIP
SEMA3G
TCN1
STAB1
PMP22
NNMT
FAM198B
ITGA2
TRAC
ANGPTL2
MEF2C
MUC20
HOXD8
GSTA1
EFNA1
TNFAIP8L2
CSTA
IL1RN
DHRS9
TDO2
CPNE5
APLN
NNAT
MIAT
CENPF
EFNB2
ASPN
EGFL7
RGS2
PTRF
CLEC10A
CHRDL1
MS4A6A
GPR183
TIMP4
CILP
FAM84A
SGK1
PTPRB
CLDN18
PDK4
DEFB1
BIRC3
NEURL3
HSD17B2
ASCL1
TXNIP
VSTM2L
CLDN1
FOSB
P2RY8
LYL1
TM4SF1
GJA1
PRKCB
ASIC2
MKI67
ATP6V0D2
CRH
RPH3A
SLA
SLCO2B1
HOXA5
CALD1
GYPC
SLC2A3
GRK5
MMRN2
PRSS8
CRP
DHRS2
RND1
TGFB3
LMCD1
WNT6
THRA1/BTR
MYOCD
PAG1
ABI3
COL12A1
JAG1
RGS10
AQP3
GPRC5A
ZSWIM4
FENDRR
VSTM4
SMIM3
SLAMF7
PCSK1
NQO1
MGST1
DDIAS
SLC14A1
ZFP36L1
FKBP10
PLCE1
BMX
C3AR1
FBLN1
NID1
SERINC2
AXL
DDIT4L
TGM2
CMAHP
TNFRSF11B
GIMAP8
IL1A
GSTA2
ADM
PHLDA1
GREM1
RGS4
FBN1
SOD2
FYB
FHL2
SIX3
CALCRL
SNAI2
NPTX2
KRT81
PRRX1
MEG3
KCTD12
SOCS1
EBF2
BATF
HES1
C10orf10
FXYD3
PIM1
LTC4S
GFPT2
TMEM173
FOXD1
C1S
TSPAN1
HEYL
SEMA6B
ECM1
RNASE6
HSD11B1
HLA-DMB
CSPG4
CLEC7A
SPOCK1
GADD45G
VIM
NCKAP1L
TMEM119
CDC42EP1
CCNB2
BTK
PLEKHG1
SOX17
TEK
FZD4
NES
VAV1
ARHGAP31
RSPO3
CPA4
COL7A1
CD44
GAS1
GAL
ATF3
CAMK2G
ENC1
PTPRC
PHLDA2
MCTP1
DDIT4
C1R
RRM2
TPM2
GRAP
MME
FSTL3
GPX2
FERMT1
ARL4C
SPHK1
S100A4
KRT80
CHSY1
HLA-DQA2
ONECUT2
LGALS3
CYSLTR2
ALPL
PCDH12
ETS1
DUSP5
ACE
PGC
S100A10
NREP
KANK3
C6orf222
SDC1
SAMSN1
C20orf202
SOCS3
GIMAP6
CLDN14
FOSL1
SLIT3
SYNGR4
ADAMTS7
GPNMB
PLEKHO1
TMEM45B
CEL
IL2RG
DDR2
AHNAK
HBEGF
GUCA2A
ZEB2
DKK3
DUSP6
ADRA2C
FAM159B
LHFP
LEPR
ABCC8
RASD2
IGFBP1
GIMAP4
TRAF1
MYL9
HLX
ITGAX
HLA-DPB1
EVI2B
RHOJ
TNFAIP3
SLC3A1
RFTN1
VGF
EPHB2
LRRC70
UPK1B
AADAC
COLQ
GGT5
SLC6A4
SLC16A3
NRN1
SH3BP5
CD36
ARX
PTP4A3
ADORA2A
PTAFR
CA4
MGLL
CD38
LGR5
DPYSL3
LRRC8C
KRTDAP
SASH3
CD48
HLA-DQB1
PRR3
C2orf15
CD84
RASIP1
NGFR
P2RY6
ASF1B
RND3
MYCT1
SYT16
AKR1B10
ADGRF1
TMEM255B
GZMB
ADRA2B
FAP
ANXA13
LOX
EPHX4
PDE2A
CDH11
FAM180A
LITAF
PLXND1
CNTD2
HAS2
ITPKB
TRIM31
IGFBP2
ITIH5
LCP2
MSN
UPP1
RASAL3
MAFB
SDPR
HOXB7
AKR1C3
LGALS2
FILIP1L
CXorf36
ID1
C10orf128
MIR4435-2HG
HADH
TSPAN15
PDGFRA
GNG11
MT1A
TGFA
GPSM1
LBH
WWTR1
CD4
CALY
AVPR1A
SOX9
CD209
IGFBP7
PCDH8
CD24
ZC3H12A
IER3
CLDN10
FIBIN
GATM
GJD2
TP53I11
SLC30A8
ADH1C
SLC2A9
NMB
NFKBIA
APOD
CLDN4
DOCK4
F10
SPRY1
C9orf171
SYCP2L
A2M
SLC15A3
TYMP
C4orf50
MT1H
SLC6A8
FJX1
CITED4
DOCK2
RAMP2
AKAP12
RBP5
CDKN2A
CD86
VNN1
ETS2
ITM2A
DAB2
DOK2
CREG2
GIMAP1
VNN2
LST1
ACRC
HCLS1
UNQ6494
UCN
VTCN1
PRSS23
LURAP1L
NUPR1
ITGA11
NPNT
PPP1R16B
FBXO47
TAC1
LRP1
FMNL3
EGR3
SPRR2B
GCNT3
CNR1
RAC2
PPP1R18
UCN3
HOTAIRM1
SYT8
SLC38A2
BCAS1
PLEKHB1
FXYD5
C15orf48
CES1
SLC6A6
GEM
CXCL17
F2R
NR1D1
ERRFI1
XIST
SMOC1
AMICA1
NEK10
C1QL1
EXOC3L2
NR4A2
WAS
DES
CD79B
STC2
PLXDC1
CD9
POPDC2
MEI1
LPCAT2
BDKRB2
MARCKSL1
MYO1F
CEACAM7
PPARG
CCND1
GRAMD4
ZCCHC24
RUNX1
AGRN
CSF2RB
GADD45B
TNFAIP8L1
ARHGAP9
TCEANC
EPHA2
VMO1
C10orf25
HOXB5
TPPP3
CNN3
NR4A1
DUSP2
HS3ST2
FAM65C
RHPN2
HLA-DOA
WNT2
MBOAT4
TVP23A
FAM3D
GPM6B
TNFSF15
STOM
HSPB8
MCHR1
INPP5D
PRODH2
PDX1
MICAL2
CSF1
NUAK2
FCGR2B
SNPH
LILRB4
ANXA3
LAD1
TBXAS1
CD163L1
NID2
DPT
RAD51
FLT3
SFN
IL4R
SPNS2
SLC44A2
KRT18
ARHGEF15
RHOH
SPNS3
IGSF10
CDH6
SUSD2
RNF165
HOXB4
GAD2
ZNF331
TMEM88
DDIT3
CLIC4
ITGA8
SHE
NT5E
FAR2
CST6
SLC16A6
TNFRSF25
ZEB1
SLAMF8
ENTPD1
CCL7
HIST1H3D
NDRG1
ARHGAP25
TNFAIP6
CTSC
CITED2
C17orf104
NCOA7
NR2F2
EGR1
TDRD12
HSPA1A
MSX1
SEMA3C
SRPX2
SH2D3C
FAM110D
DOCK11
STMN2
PCP4
PPP2R2B
FXYD6
PPP1R1A
F2RL2
CHST4
PPAP2C
RCSD1
GPR34
ADGRA2
USHBP1
PIK3R5
COMP
LTBP2
ZCCHC12
MX1
FXYD2
PCSK2
NPFFR2
LY6H
PLAC9
ACTA2
C1QTNF1
BCL2A1
SPOCK2
LAT
FST
TGFB1I1
SOD3
CHGB
FLI1
BMP2
HSPB2
IGFBP6
PRR16
