depth,method,rmse,pearson,cluster_ari,cluster_nmi,marker_spearman,marker_top50_overlap,deg_top100_overlap,logfc_pearson,logfc_spearman,deg_direction_consistency,module_score_pearson
0.25,dca_real,1.216,0.403,0.337,0.548,0.643,0.805,0.53,0.696,0.401,0.99,0.8
0.5,dca_real,1.238,0.42,0.427,0.629,0.632,0.79,0.48,0.679,0.394,0.98,0.817
0.75,dca_real,1.252,0.427,0.447,0.652,0.633,0.779,0.49,0.679,0.402,0.98,0.826
