depth,method,rmse,pearson,cluster_ari,cluster_nmi,marker_spearman,marker_top50_overlap,deg_top100_overlap,logfc_pearson,logfc_spearman,deg_direction_consistency,module_score_pearson
0.25,knn_supervised,0.836,0.435,0.295,0.474,0.67,0.79,0.6,0.88,0.582,1.0,0.782
0.5,knn_supervised,0.822,0.468,0.464,0.591,0.519,0.695,0.67,0.944,0.771,1.0,0.861
0.75,knn_supervised,0.814,0.495,0.489,0.643,0.529,0.737,0.69,0.946,0.781,1.0,0.866
