depth,method,rmse,pearson,cluster_ari,cluster_nmi,marker_spearman,marker_top50_overlap,deg_top100_overlap,logfc_pearson,logfc_spearman,deg_direction_consistency,module_score_pearson
0.25,alra,0.938,0.654,0.757,0.84,0.887,0.737,0.65,0.913,0.898,1.0,0.972
0.5,alra,0.845,0.704,0.767,0.856,0.91,0.771,0.65,0.922,0.914,1.0,0.984
0.75,alra,0.802,0.726,0.764,0.856,0.918,0.762,0.63,0.925,0.919,1.0,0.988
