parameterization,schedule,inference,rmse,pearson,deg,logfc_s
x0,cosine,"reverse(50, N=5)",0.746,0.74,0.84,0.842
x0,cosine,single-step,0.702,0.764,0.85,0.864
epsilon,cosine,"reverse(50, N=5)",9627360677942614.0,0.001,0.05,0.051
x0,linear,"reverse(50, N=5)",0.768,0.711,0.807,0.84
epsilon,linear,"reverse(50, N=5)",0.895,0.681,0.657,0.752
