depth,method,rmse,pearson,cluster_ari,cluster_nmi,marker_spearman,marker_top50_overlap,deg_top100_overlap,logfc_pearson,logfc_spearman,deg_direction_consistency,module_score_pearson
0.25,knn_supervised,0.933,0.518,0.553,0.686,0.528,0.706,0.49,0.889,0.563,1.0,0.905
0.5,knn_supervised,0.918,0.54,0.503,0.663,0.529,0.714,0.52,0.901,0.603,1.0,0.924
0.75,knn_supervised,0.907,0.557,0.451,0.674,0.544,0.71,0.56,0.911,0.621,1.0,0.944
