depth,method,rmse,pearson,cluster_ari,cluster_nmi,marker_spearman,marker_top50_overlap,deg_top100_overlap,logfc_pearson,logfc_spearman,deg_direction_consistency,module_score_pearson
0.25,cvae,0.909,0.551,0.56,0.706,0.6,0.729,0.43,0.945,0.685,1.0,0.953
0.25,depthdiff,0.865,0.638,0.51,0.665,0.672,0.782,0.81,0.952,0.778,1.0,0.935
0.25,mlp,0.892,0.587,0.466,0.68,0.626,0.752,0.8,0.951,0.715,1.0,0.946
0.25,raw_low_depth,0.927,0.585,0.625,0.697,0.619,0.779,0.68,0.897,0.727,1.0,0.926
0.25,sae,0.912,0.548,0.555,0.716,0.598,0.756,0.42,0.944,0.689,1.0,0.949
0.5,cvae,0.903,0.56,0.558,0.728,0.594,0.737,0.36,0.945,0.686,1.0,0.959
0.5,depthdiff,0.699,0.78,0.698,0.745,0.783,0.859,0.86,0.976,0.886,1.0,0.966
0.5,mlp,0.836,0.649,0.566,0.732,0.646,0.752,0.82,0.953,0.736,1.0,0.959
0.5,raw_low_depth,0.721,0.768,0.458,0.671,0.757,0.821,0.65,0.942,0.846,1.0,0.963
0.5,sae,0.904,0.558,0.578,0.732,0.598,0.733,0.35,0.947,0.693,1.0,0.958
0.75,cvae,0.9,0.564,0.568,0.737,0.593,0.737,0.34,0.944,0.687,1.0,0.961
0.75,depthdiff,0.544,0.872,0.554,0.727,0.857,0.855,0.87,0.984,0.93,1.0,0.98
0.75,mlp,0.805,0.681,0.526,0.727,0.663,0.76,0.79,0.953,0.748,1.0,0.964
0.75,raw_low_depth,0.545,0.872,0.436,0.649,0.836,0.855,0.73,0.96,0.897,1.0,0.978
0.75,sae,0.901,0.562,0.558,0.726,0.598,0.74,0.31,0.946,0.692,1.0,0.96
